ident,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,iata_code,local_code
01LS,Country Breeze Airport,30.70599937,-91.07740021,125,US,Slaughter,,01LS
01MA,Compaq Andover Heliport,42.62509918,-71.18009949,140,US,Andover,,01MA
01MD,Annapolis Seaplane Base,38.999199,-76.456001,,US,Annapolis,,01MD
01ME,Saint Peter's Seaplane Base,46.77890015,-68.50029755,608,US,Portage Lake,,01ME
01MI,Flow Through Terminal Heliport,43.04949951,-83.67970276,736,US,Flint,,01MI
01MN,Barnes Seaplane Base,47.89960098,-92.55740356,1358,US,Cook,,01MN
01MO,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,615,US,Town and Country,,01MO
01MT,Crystal Lakes Resort Airport,48.78910065,-114.8799973,3141,US,Fortine,,01MT
01NC,Topsail Airpark,34.47529984,-77.58139801,65,US,Holly Ridge,,01NC
01NE,Detour Airport,40.84360123,-100.6529999,3000,US,Wellfleet,,01NE
01NH,Moore Airfield,43.64450073,-72.08699799,835,US,Enfield,,01NH
01NJ,Albert Guido Memorial Heliport,40.7417984,-74.13710022,10,US,Newark,,01NJ
01NM,Champion Ranch Airport,33.008611,-104.540278,3630,US,Artesia,,01NM
01NV,Lantana Ranch Airport,38.76390076,-119.0270004,4600,US,Yerington,,01NV
01NY,Vassar Hospital Heliport,41.70009995,-73.94960022,100,US,Poughkeepsie,,01NY
01OI,Galion Community Hospital Heliport,40.73059845,-82.8015976,1140,US,Galion,,01OI
01OK,Lawrence Airport,35.29449844,-98.6364975,1525,US,Eakly,,01OK
01OR,Red & White Flying Service Airport,43.11930084,-121.0449982,4346,US,Silver Lake,,01OR
01PA,Pine Heliport,40.6556015,-80.05090332,1215,US,Mars,,01PA
01PN,Bierly(Personal Use) Airport,40.93059921,-77.73889923,960,US,Bellefonte,,01PN
01PS,Nort's Resort Airport,41.59590149,-76.02960205,1040,US,Meshoppen,,01PS
01SC,York Airport,35.03210068,-81.25279999,779,US,York,,01SC
01TA,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,630,US,Arlington,,01TA
01TE,Smith Field,32.73759842,-96.4280014,505,US,Forney,,01TE
01TN,Colonial Air Park,34.9958992,-89.73059845,370,US,Collierville,,01TN
01TS,St Joseph Hospital Heliport,32.72850037,-97.32450104,675,US,Fort Worth,,01TS
01TX,Mims Farm Ultralightport,32.38759995,-96.87750244,610,US,Waxahachie,,01TX
01U,Duckwater Airport,38.85160065,-115.6340027,5124,US,Duckwater,,01U
01UT,La Sal Junction Airport,38.30830002,-109.3960037,6000,US,La Sal,,01UT
01VA,Pickles Airport,39.125,-77.92500305,500,US,Berryville,,01VA
01WA,Willapa Harbor Heliport,46.66320038,-123.8119965,154,US,South Bend,,01WA
01WI,Prehn Cranberry Company Airport,44.00999832,-90.3891983,930,US,Tomah,,01WI
01WN,Whidbey General Hospital Heliport,48.21340179,-122.6849976,103,US,Coupeville,,01WN
01WT,Odyssey Heliport,47.518178,-122.210908,20,US,Renton,,01WT
01WY,Keyhole Airport,44.34719849,-104.810997,4250,US,Moorcroft,,01WY
01XA,Seton Medical Center Hays Heliport,30.007222,-97.853333,715,US,Kyle,,01XA
01XS,Meadowood Ranch Heliport,32.02019882,-95.74549866,500,US,Athens,,01XS
02AK,Rustic Wilderness Airport,61.87689972,-150.0980072,190,US,Willow,,02AK
02AL,Bass Field,30.37150002,-87.76439667,61,US,Foley,,02AL
02AR,Three Rivers Airport,34.82244492,-92.44441986,264,US,Little Rock,,02AR
02AZ,Winchester Farm Airstrip,32.37639999,-109.9369965,4200,US,Willcox,,02AZ
02CA,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,122,US,Huntington Beach,,02CA
02CD,Shannon Field,34.12960052,-90.52400208,165,US,Clarksdale,,02CD
02CL,Conover Air Lodge Airport,34.76110077,-119.0589981,5160,US,Frazier Park,,02CL
02CO,Mc Cullough Airport,37.6432991,-106.0469971,7615,US,Monte Vista,,02CO
02CT,Strangers Point Heliport,41.91960144,-72.44450378,540,US,Ellington,,02CT
02FA,Osborn Airfield,28.52669907,-81.87480164,121,US,Groveland,,02FA
02FL,Cuchens Airport,30.642778,-86.123889,215,US,Defuniak Springs,,02FL
02GA,Doug Bolton Field,34.20259857,-83.42900085,884,US,Commerce,,02GA
02GE,Etowah Fields Airport,34.1753006,-84.92440033,710,US,Euharlee,,02GE
02HI,K3 Helipad Heliport,21.36199951,-157.951004,9,US,Pearl Harbor,,02HI
02IA,Boone County Hospital Heliport,42.05609894,-93.87799835,1160,US,Boone,,02IA
02ID,Morgan Ranch Airport,44.55550003,-115.3050003,5634,US,Cascade,,02ID
02II,King Ultralightport,40.06230164,-86.21050262,925,US,Westfield,,02II
02IN,Diamond P. Field,40.20890045,-85.540802,904,US,Muncie,,02IN
02IS,Condell Medical Center Heliport,42.27460098,-87.95729828,762,US,Libertyville,,02IS
02KS,Jmj Landing Airport,39.22219849,-96.05529785,1170,US,St Marys,,02KS
02KY,Boone National Guard Heliport,38.1833992,-84.89990234,760,US,Frankfort,,02KY
02LA,La State Police Troop G Heliport,32.53129959,-93.66020203,168,US,Bossier City,,02LA
02LS,Windy Hill Heliport,30.14830017,-91.91899872,25,US,Broussard,,02LS
02MA,Cuttyhunk Heliport,41.41960144,-70.92700195,9,US,Gosnold,,02MA
02ME,Old Acton Airfield,43.53730011,-70.92939758,700,US,Acton,,02ME
02MI,Fairplains Airpark,43.15710068,-85.14849854,850,US,Greenville,,02MI
02MN,Greenbush Municipal Airport,48.68330002,-96.19200134,1070,US,Greenbush,,02MN
02MO,Troy Airpark,39.04999924,-91.03350067,650,US,Troy,,02MO
02MS,Watts Field,34.10010147,-90.84680176,153,US,Rochdale,,02MS
02MT,Barrett Field,47.23740005,-111.7419968,3350,US,Cascade,,02MT
02MU,Timber Line Airpark,36.65420151,-93.79740143,1550,US,Cassville,,02MU
02NC,Race City Heliport,35.541111,-80.597778,809,US,Landis,,02NC
02NE,Benes Service Airport,41.07450104,-96.90450287,1550,US,Valparaiso,,02NE
02NH,Iroquois Landing Seaplane Base,44.65710068,-71.21910095,1180,US,Dummer,,02NH
02NJ,Penske Heliport,40.55730057,-74.46710205,78,US,Piscataway,,02NJ
02NV,Paiute Meadows Airport,41.30329895,-118.5979996,4443,US,Winnemucca,,02NV
02NY,Hansen Heliport,43.13259888,-75.65550232,435,US,Durhamville,,02NY
02OH,Zimmerman Airport,41.37639999,-83.08329773,614,US,Fremont,,02OH
02OI,Murtha Airport,41.80199814,-80.56539917,950,US,Conneaut,,02OI
02OK,Canon Heliport,35.45840073,-97.52529907,1191,US,Oklahoma City,,02OK
02OR,Rowena Dell Airport,45.68149948,-121.3160019,705,US,The Dalles,,02OR
02P,Stottle Memorial Heliport,40.40359879,-77.55660248,591,US,Honey Grove,,02P
02PA,Lag Iii Heliport,40.43830109,-79.76999664,1070,US,Monroeville,,02PA
02PN,Peco Berwyn Heliport,40.06959915,-75.4552002,390,US,Berwyn,,02PN
02PR,Cuylers Airport,18.45330048,-66.36689758,15,PR,Vega Baja,,02PR
02PS,Hughes Ultralightport,41.90060043,-77.2303009,1700,US,Tioga,,02PS
02SC,Harpers Airport,32.75849915,-81.22480011,111,US,Estill,,02SC
02T,Wise River Airport,45.76910019,-112.9820023,5830,US,Wise River,,02T
02TA,Matagorda Shore Facility Heliport,28.72139931,-95.87380219,5,US,Matagorda,,02TA
02TE,Baylor Medical Center Heliport,32.395401,-96.86419678,560,US,Waxahachie,,02TE
02TN,Ellis Field,35.7806015,-86.584198,840,US,Murfreesboro,,02TN
02TS,Fwomc Heliport,32.74760056,-97.37000275,684,US,Fort Worth,,02TS
02TX,The Palms At Kitty Hawk Airport,33.37040329,-101.9228821,3235,US,New Home,,02TX
02UT,Lucin Airport,41.36629868,-113.8430023,4412,US,Lucin,,02UT
02VA,The Greenhouse Airport,38.43569946,-77.85720062,320,US,Culpeper,,02VA
02VG,Northstar Aviation Heliport,36.63880157,-82.11669922,1850,US,Bristol,,02VG
02WA,Cawleys South Prairie Airport,47.15230179,-122.0940018,690,US,South Prairie,,02WA
02WI,Beer Airport,45.0318985,-92.65579987,920,US,Hudson,,02WI
02WN,Fowler Field,48.74580002,-119.3190002,2150,US,Tonasket,,02WN
02XS,Seidel Ranch Airport,30.14769936,-97.66280365,510,US,Elroy,,02XS
03AK,Joe Clouds Seaplane Base,60.72722244,-151.132782,150,US,Kenai,,03AK
03AL,Jackson County Hospital Heliport,34.66249847,-86.04720306,628,US,Scottsboro,,03AL
03AR,Hscmh Heliport,34.35760117,-92.78849792,350,US,Malvern,,03AR
03AZ,Thompson International Aviation Airport,31.4333992,-110.0839996,4275,US,Hereford,,03AZ
03CA,Grossmont Hospital Heliport,32.779484,-117.006952,634,US,La Mesa,,03CA
03CO,Kugel-Strong Airport,40.21250153,-104.7440033,4950,US,Platteville,,03CO
03FA,Lake Persimmon Airstrip,27.35309982,-81.40809631,70,US,Lake Placid,,03FA
03FD,Tharpe Airport,30.8288002,-85.73100281,115,US,Bonifay,,03FD
03FL,Ranger Heliport,26.68370056,-80.18730164,20,US,West Palm Beach,,03FL
03I,Clarks Dream Strip,39.64419937,-83.01820374,680,US,Circleville,,03I
03IA,East Field,41.58190155,-92.46130371,954,US,Montezuma,,03IA
03ID,Flying Y Ranch Airport,44.79430008,-116.5329971,3180,US,Council,,03ID
03II,Davis Field Ultralightport,37.9620018,-87.77890015,465,US,Mount Vernon,,03II
03IL,Wix Airport,41.40230179,-87.8167038,750,US,Monee,,03IL
03IN,Heinzman Airport,40.18000031,-86.01249695,850,US,Arcadia,,03IN
03IS,St Anthony's Hospital Heliport,38.90499878,-90.17340088,580,US,Alton,,03IS
03KS,Valley Grain Heliport,39.86470032,-95.26409912,1160,US,Highland,,03KS
03KY,Flying H Farms Airport,37.79169846,-87.54139709,385,US,Henderson,,03KY
03LA,Damien Heliport,30.19960022,-91.12789917,25,US,Carville,,03LA
03LS,Fmc Nr 1 Heliport,32.1590004,-91.70800018,79,US,Winnsboro,,03LS
03M,Lakeside Marina Seaplane Base,44.32089996,-69.88950348,165,US,East Winthrop,,03M
03MA,Hadley Airport,42.39310074,-72.55200195,150,US,Hadley,,03MA
03MD,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,302,US,Bel Air,,03MD
03ME,Maple Ridge Airport,44.08420181,-70.62729645,556,US,Harrison,,03ME
03MI,Harold Miller Heliport,43.55089951,-83.86219788,585,US,Bay City,,03MI
03MN,Nauerth Land Ranch Airport,43.62519836,-95.22470093,1435,US,Lakefield,,03MN
03MO,Cahoochie Airport,37.8844986,-93.13159943,1010,US,Urbana,,03MO
03MS,Vicksburg Medical Center Heliport,32.31880188,-90.8832016,110,US,Vicksburg,,03MS
03MT,Cascade Airport,47.27080154,-111.7220001,3580,US,Cascade,,03MT
03MU,Mc Donnell Airport,38.49250031,-94.41249847,874,US,Archie,,03MU
03N,Utirik Airport,11.222,169.852005,4,MH,Utirik Island,UTK,03N
03NC,Pilots Ridge Airport,34.10430145,-77.90419769,35,US,Carolina Beach,,03NC
03ND,Olafson Brothers Airport,48.62639999,-97.82900238,1045,US,Edinburg,,03ND
03NE,Hyde Ranch Airport,41.54639816,-99.33119965,2430,US,Comstock,,03NE
03NH,Lorden Heliport,42.81539917,-71.12439728,400,US,Milford,,03NH
03NJ,At&T Heliport,40.66870117,-74.41069794,360,US,Berkeley Heights,,03NJ
03NV,Llama Ranch Airport,40.58440018,-115.2979965,6120,US,Ruby Valley,,03NV
03NY,Talmage Field,40.95840073,-72.71679688,95,US,Riverhead,,03NY
03OH,Gibbs Field,41.41839981,-83.01740265,580,US,Fremont,,03OH
03OI,Marymount Hospital Heliport,41.42089844,-81.59980011,890,US,Garfield Heights,,03OI
03OK,Sahoma Lake Airport,36.04119873,-96.16139984,890,US,Sapulpa,,03OK
03OR,Powwatka Ridge Airport,45.85540009,-117.4840012,3340,US,Troy,,03OR
03PA,Collegeville Heliport,40.16289902,-75.46569824,197,US,Collegeville,,03PA
03PN,M.P. Metals Heliport,41.066861,-76.180806,479,US,Berwick,,03PN
03PS,Ziggy's Field,40.84999847,-77.9056015,1050,US,Bellefonte,,03PS
03S,Sandy River Airport,45.40179825,-122.2289963,704,US,Sandy,,03S
03SC,Seacoast Medical Center Heliport,33.86500168,-78.66190338,73,US,Little River,,03SC
03TA,Gay Hill Farm Airport,30.26269913,-96.50019836,505,US,Gay Hill,,03TA
03TE,Barronena Ranch Airport,27.49110031,-98.66950226,600,US,Hebbronville,,03TE
03TN,Eagles Landing Heliport,35.92250061,-83.57939911,1000,US,Sevierville,,03TN
03TS,Shannon Medical Center Heliport,31.4598999,-100.4380035,1825,US,San Angelo,,03TS
03TX,M D K Field,29.58160019,-95.30719757,50,US,Pearland,,03TX
03UT,A Z Minerals Corporation Airport,37.12080002,-109.9860001,5315,US,Mexican Hat,,03UT
03VA,Whipoorwill Springs Airport,38.66460037,-77.57969666,250,US,Nokesville,,03VA
03WA,Spangle Field,47.40819931,-117.3720016,2440,US,Spangle,,03WA
03WI,Zink Airport,44.02750015,-88.88089752,880,US,Berlin,,03WI
03WN,Aerostone Ranch Airport,45.875,-120.6699982,2320,US,Goldendale,,03WN
03XS,Creekside Airport,31.31809998,-100.7539978,2100,US,Mertzon,,03XS
04AL,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,686,US,Anniston,,04AL
04AR,Saline Memorial Hospital Heliport,34.57400131,-92.582901,430,US,Benton,,04AR
04AZ,Chinle Airport,36.15420151,-109.5510025,5515,US,Chinle,,04AZ
04CA,Gray Butte Field,34.56389999,-117.6750031,3020,US,Palmdale,,04CA
04CL,Hunt's Sky Ranch Airport,33.08169937,-116.4410019,2310,US,Julian,,04CL
04CT,Shingle Mill Heliport,41.75510025,-73.05239868,880,US,Harwinton,,04CT
04F,De Leon Municipal Airport,32.09880066,-98.52529907,1293,US,De Leon,,04F
04FA,Richards Field,25.55870056,-80.51509857,9,US,Homestead,,04FA
04FL,Cross Creek Farms Airport,29.23940086,-81.22200012,30,US,Ormond,,04FL
04I,Columbus Southwest Airport,39.91120148,-83.188797,920,US,Columbus,,04I
04IA,Middlekoop Airport,41.0882988,-92.05460358,801,US,Packwood,,04IA
04ID,Lanham Field,43.87770081,-116.5370026,2343,US,Emmett,,04ID
04II,Turkey Run Airport,41.13059998,-84.99410248,765,US,New Haven,,04II
04IL,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,755,US,Hudson,,04IL
04IN,Lake Gage Seaplane Base,41.701389,-85.113056,954,US,Angola,,04IN
04IS,Van Gorder Airport,40.17860031,-88.56900024,728,US,Mansfield,,04IS
04KS,Robinson Industries Heliport,38.97890091,-95.21970367,835,US,Lawrence,,04KS
04KY,Natchez Trace Farm Airport,37.13510132,-85.78939819,710,US,Hiseville,,04KY
04LA,St James Heliport,30.051111,-90.702222,10,US,Lutcher,,04LA
04LL,Brunner Airport,42.13610077,-88.28759766,750,US,West Dundee,,04LL
04LS,La National Guard Heliport,30.44610023,-91.1053009,52,US,Baton Rouge,,04LS
04MA,Goddard Field (Airport),42.80979919,-71.1391983,200,US,Haverhill,,04MA
04MD,Chesapeake City Heliport,39.51810074,-75.8214035,40,US,Chesapeake City,,04MD
04ME,Beech Hill Airport,44.66669846,-69.89389801,625,US,Mercer,,04ME
04MI,Rapids Airway Airport,42.53450012,-84.62830353,880,US,Eaton Rapids,,04MI
04MN,Helblad Airport,47.9858017,-94.68689728,1195,US,Kelliher,,04MN
04MO,Airpark Private Airport,39.30120087,-91.45149994,767,US,Vandalia,,04MO
04MS,Nick's Flying Service Inc Airport,32.9396019,-90.83730316,100,US,Rolling Fork,,04MS
04MT,Pluhar Airport,47.13749778,-106.488095,2715,US,Cohagen,,04MT
04NC,Western Wake Medical Center Heliport,35.73920059,-78.78220367,445,US,Cary,,04NC
04NE,Mc Connell Field Airport,41.15999985,-101.2990036,3035,US,Sarben,,04NE
04NJ,Emmanuel Airport,39.59680176,-75.23349762,155,US,Elmer,,04NJ
04NV,Kingston Ranch Airport,35.75550079,-115.6650009,2620,US,Sandy Valley,,04NV
04NY,Klaverack Airport,42.26229858,-73.69619751,250,US,Hudson,,04NY
04OG,Teufel Heliport,45.530833,-123.085556,185,US,Forest Grove,,04OG
04OH,Bossow Airport,41.24769974,-81.10070038,1080,US,Garrettsville,,04OH
04OK,Stillwater Medical Center Heliport,36.11529922,-97.07949829,984,US,Stillwater,,04OK
04OR,Collins Landing Strip,44.74990082,-120.2009964,1500,US,Mitchell,,04OR
04PA,S & C Distribution Center Heliport,39.87929916,-75.22879791,50,US,Philadelphia,,04PA
04PN,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,320,US,Exton,,04PN
04SC,Emergency Helipad,34.84059906,-82.60690308,994,US,Easley,,04SC
04TA,Capitol National Bank Building Heliport,30.27104167,-97.74469757,540,US,Austin,,04TA
04TE,Veterans Affairs Medical Center Heliport,29.70019913,-95.38739777,49,US,Houston,,04TE
04TN,Hensley Airpark,36.18330002,-82.67890167,1430,US,Chuckey,,04TN
04TS,Hummingbird Heliport,30.55349922,-97.60610199,690,US,Hutto,,04TS
04TX,Pocock Airport,31.73220062,-97.36889648,565,US,China Spring,,04TX
04UT,Navajo Mountain Airport,37.00830078,-110.7949982,6160,US,Navajo Mountain Trdng Post,,04UT
04V,Saguache Municipal Airport,38.0990833,-106.1743889,7826,US,Saguache,,04V
04VA,Russell County Medical Center Heliport,36.898,-82.078,2004,US,Lebanon,,04VA
04VG,Manquin Flight Park Ultralightport,37.71440125,-77.21179962,50,US,Manquin,,04VG
04VT,Lightning Bolt Field Airport,44.40110016,-72.26360321,2156,US,Cabot,,04VT
04W,Field of Dreams Airport,46.02280045,-92.895401,1021,US,Hinckley,,04W
04WA,Ox Meadows Airport,47.58179855,-117.4369965,2345,US,Spokane,,04WA
04WI,Dutch Gap Airstrip,42.52339935,-88.01670074,760,US,Bristol,,04WI
04WN,Stillwater Creek Airport,46.963889,-119.641667,1510,US,Royal City,,04WN
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111,1137,US,Morgantown,,04WV
04XS,Napiers Heliport,32.58209991,-97.14250183,625,US,Mansfield,,04XS
05AK,Wasilla Creek Airpark,61.66830063,-149.1880035,620,US,Palmer,,05AK
05AL,Allen Stagefield Army Heliport,31.23119926,-85.64969635,365,US,Fort Rucker/Wicksburg,,05AL
05AR,Ozark Skies Airpark,36.000633,-93.57025,1900,US,Kingston,,05AR
05AZ,Yuma Regional Medical Center Heliport,32.68280029,-114.6340027,200,US,Yuma,,05AZ
05B,Van Buren Seaplane Base,47.15890121,-67.93199921,440,US,Van Buren,,05B
05CA,Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969,888,US,Calabasas,,05CA
05CL,Pope Valley Airport,38.6106987,-122.3909988,618,US,Pope Valley,,05CL
05CO,Rancho De Aereo Airport,40.2149839,-104.9844228,4978,US,Mead,,05CO
05CT,O And G Heliport,41.77370071,-73.11620331,600,US,Torrington,,05CT
05FA,Melanie's Airport,30.91889954,-86.21829987,295,US,Florala,,05FA
05FD,Aventura Heliport,25.96089935,-80.1391983,6,US,North Miami Beach,,05FD
05FL,Charlton Strip,26.5230999,-81.40830231,36,US,La Belle,,05FL
05GA,Raju Airport,32.07139969,-84.71440125,625,US,Richland,,05GA
05IA,Spotts Field,43.13750076,-93.06829834,1155,US,Nora Springs,,05IA
05ID,Running Creek Ranch Airport,45.91410065,-114.8359985,2969,US,Grangeville,,05ID
05II,Reichhart Airport,41.02870178,-84.99720001,795,US,New Haven,,05II
05IL,Classic Landings Airport,41.15670013,-88.01670074,635,US,Bonfield,,05IL
05IN,Cooper Airport,39.64199829,-86.5042038,860,US,Belleville,,05IN
05IS,Hardy Airport,39.72589874,-89.26399994,605,US,Mount Auburn,,05IS
05KS,Darbro Field,37.26620102,-95.959198,945,US,Elk City,,05KS
05KY,Cartersville Airport,37.53689957,-84.40720367,1070,US,Berea,,05KY
05LA,Greg's Flying Service Airport,32.26530075,-91.69779968,76,US,Baskin,,05LA
05LL,Midwest Heliport,41.74890137,-87.93509674,710,US,Willowbrook,,05LL
05LS,Grass Roots Airport,31.25219917,-92.47579956,83,US,Alexandria,,05LS
05M,Pauls Valley General Hospital Heliport,34.71969986,-97.21399689,911,US,Pauls Valley,,05M
05MA,Bentley Heliport,42.69120026,-70.91230011,80,US,Ipswich,,05MA
05MD,Breezecroft Airport,39.25009918,-76.2052002,20,US,Chestertown,,05MD
